datetime,precipitation,humidity,temperature,pressure,station,station_code,year,precip_2h,precip_6h,pressure_drop,flood_risk
2021-12-10 22:00:00,0.0,91.0,16.2,894.6,NOVA_FRIBURGO,A624,2021,0.0,0.0,-0.6000000000000227,0
2024-08-16 02:00:00,0.0,90.0,9.3,903.5,NOVA_FRIBURGO,A624,2024,0.0,0.0,0.0,0
2023-03-21 08:00:00,0.2,94.0,15.2,898.2,NOVA_FRIBURGO,A624,2023,0.1999999999999858,0.1999999999999929,0.0,0
2021-09-23 22:00:00,0.0,87.0,10.7,902.1,NOVA_FRIBURGO,A624,2021,0.0,0.0,-0.8000000000000682,0
2022-05-05 10:00:00,0.2,84.0,18.1,897.4,NOVA_FRIBURGO,A624,2022,0.19999999999999468,0.4,-1.5,0
2023-02-14 10:00:00,0.0,94.0,17.1,897.3,NOVA_FRIBURGO,A624,2023,0.0,0.1999999999999929,-1.1999999999999318,0
2023-06-23 07:00:00,0.0,89.0,8.8,901.3,NOVA_FRIBURGO,A624,2023,0.0,0.1999999999999858,0.0,0
2023-08-02 10:00:00,0.0,96.0,4.9,904.1,NOVA_FRIBURGO,A624,2023,0.1999999999999858,0.1999999999999858,-0.8000000000000682,0
2023-07-31 06:00:00,0.0,93.0,12.8,904.2,NOVA_FRIBURGO,A624,2023,0.0,0.0,0.0,0
2022-10-14 06:00:00,0.0,92.0,8.6,900.5,NOVA_FRIBURGO,A624,2022,0.0,0.0,0.0,0
2022-09-26 05:00:00,0.0,88.0,14.0,900.0,NOVA_FRIBURGO,A624,2022,0.0,0.0,0.0,0
2022-08-06 22:00:00,0.0,81.0,16.2,899.4,NOVA_FRIBURGO,A624,2022,0.0,0.0,-0.6000000000000227,0
2025-05-31 09:00:00,0.2,95.0,14.4,901.9,NOVA_FRIBURGO,A624,2025,0.1999999999999929,0.7999999999999823,-0.39999999999997726,0
2024-02-12 08:00:00,,87.0,18.8,901.5,NOVA_FRIBURGO,A624,2024,,,-0.2999999999999545,0
2022-10-18 18:00:00,0.0,49.0,24.1,900.0,NOVA_FRIBURGO,A624,2022,0.0,0.0,0.0,0
2024-07-28 04:00:00,0.0,92.0,9.3,903.5,NOVA_FRIBURGO,A624,2024,0.0,0.0,0.0,0
2021-05-24 10:00:00,0.0,90.0,15.5,897.1,NOVA_FRIBURGO,A624,2021,0.0,0.0,-1.2000000000000455,0
2023-11-15 17:00:00,0.0,45.0,30.8,894.1,NOVA_FRIBURGO,A624,2023,0.0,0.0,0.0,0
2021-04-21 05:00:00,0.6,89.0,14.6,895.5,NOVA_FRIBURGO,A624,2021,0.6000000000000009,1.0,0.0,0
2023-09-27 00:00:00,0.0,76.0,20.4,894.6,NOVA_FRIBURGO,A624,2023,0.0,0.0,-1.0,0
2021-02-13 20:00:00,1.2,87.0,20.4,895.2,NOVA_FRIBURGO,A624,2021,2.599999999999998,2.799999999999998,0.0,0
2025-04-05 16:00:00,13.0,89.0,18.4,902.8,NOVA_FRIBURGO,A624,2025,27.39999999999999,42.59999999999998,0.0,0
2022-04-25 06:00:00,0.0,89.0,16.4,902.1,NOVA_FRIBURGO,A624,2022,0.0,0.0,0.0,0
2022-06-21 06:00:00,0.0,93.0,9.5,902.3,NOVA_FRIBURGO,A624,2022,0.0,0.0,0.0,0
2022-05-08 03:00:00,0.0,87.0,14.7,902.8,NOVA_FRIBURGO,A624,2022,0.0,0.0,0.0,0
2023-01-26 10:00:00,0.2,93.0,11.6,896.9,NOVA_FRIBURGO,A624,2023,0.1999999999999858,0.1999999999999929,-0.8999999999999773,0
2024-03-16 16:00:00,,56.0,28.3,895.3,NOVA_FRIBURGO,A624,2024,,,0.0,0
2024-04-04 03:00:00,0.0,93.0,15.0,899.3,NOVA_FRIBURGO,A624,2024,0.0,0.0,0.0,0
2025-04-07 10:00:00,0.0,75.0,13.7,902.6,NOVA_FRIBURGO,A624,2025,0.0,0.5999999999999819,-0.8000000000000682,0
2023-02-10 22:00:00,0.0,89.0,20.1,897.1,NOVA_FRIBURGO,A624,2023,0.0,0.0,-0.7000000000000455,0
2023-03-08 03:00:00,0.0,85.0,20.2,899.5,NOVA_FRIBURGO,A624,2023,0.0,0.0,-0.20000000000004547,0
2023-03-26 17:00:00,0.0,58.0,27.2,897.5,NOVA_FRIBURGO,A624,2023,0.0,0.1999999999999929,0.0,0
2025-02-13 07:00:00,0.0,94.0,14.5,898.3,NOVA_FRIBURGO,A624,2025,0.0,0.0,0.0,0
2021-05-19 14:00:00,0.0,61.0,19.4,898.5,NOVA_FRIBURGO,A624,2021,0.0,0.0,0.0,0
2022-09-17 01:00:00,0.6,89.0,10.6,902.1,NOVA_FRIBURGO,A624,2022,2.399999999999994,5.3999999999999995,-0.6000000000000227,0
2021-09-14 20:00:00,0.0,54.0,23.4,896.8,NOVA_FRIBURGO,A624,2021,0.0,0.0,-0.5,0
2022-08-16 12:00:00,0.0,62.0,17.3,900.7,NOVA_FRIBURGO,A624,2022,0.0,0.0,-1.1000000000000227,0
2024-10-30 11:00:00,0.0,78.0,19.0,899.4,NOVA_FRIBURGO,A624,2024,0.0,0.0,-0.8999999999999773,0
2023-08-14 22:00:00,0.0,86.0,16.0,902.5,NOVA_FRIBURGO,A624,2023,0.0,0.0,-0.5,0
2022-02-18 06:00:00,0.0,85.0,17.7,893.6,NOVA_FRIBURGO,A624,2022,0.0,48.8,0.0,0
2023-10-23 18:00:00,0.0,57.0,24.2,896.2,NOVA_FRIBURGO,A624,2023,0.0,0.0,0.0,0
2022-09-14 06:00:00,0.0,92.0,13.5,896.6,NOVA_FRIBURGO,A624,2022,0.0,0.0,-0.10000000000002274,0
2024-03-27 20:00:00,1.4,89.0,18.1,900.4,NOVA_FRIBURGO,A624,2024,1.7999999999999856,5.199999999999985,-0.39999999999997726,0
